chanel_name,yt_url,subscribers,check_date,released_date,is_posted_in_date_range,shorts_name,description,likes,views,short_url,thumbnail_link
Rolling Stone Korea,https://www.youtube.com/channel/UChu7d9tG_NVjot8RyZibFNg,17800,24-08-2024,Aug 22 2024,No,앤더슨 팩과 롤링스톤 코리아가 드디어 만났습니다 🔥❤️🖤 #rollingstone #rollingstonekorea #andersonpaak,앤더슨 팩과 롤링스톤 코리아가 드디어 만났습니다 🔥❤️🖤 #rollingstone #rollingstonekorea #andersonpaak,10,119,https://www.youtube.com/shorts/G87H1xhT388,https://i.ytimg.com/vi/G87H1xhT388/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCnz9xSbqJLxB2ZLAZgd2cw8cHkJA
울산동구기타연구소,https://www.youtube.com/channel/UCqfjeDnuCsTdveHtW_ARPHw,11500,24-08-2024,Jun 28 2024,No,오랫동안 기타를 안 칠 땐 줄을 풀어놓으세요,"네이버 카페 http://cafe.naver.com/ulsanguitarjam
인스타그램 https://www.instagram.com/guitarssam/

#guitar #shorts",41,"5,211",https://www.youtube.com/shorts/td9hL4cntpo,https://i.ytimg.com/vi/td9hL4cntpo/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCvMcT2GF6flrlkRkHggh02J36AhA
DETEMPO World,https://www.youtube.com/channel/UCelQZJWtSrVuYtEi4HQGouA,6390,24-08-2024,Dec 08 2023,No,"2023, 대한민국","2023, 대한민국",22,431,https://www.youtube.com/shorts/EhUedFn4wF4,https://i.ytimg.com/vi/EhUedFn4wF4/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLB8OW3GPSxOZrxcBq5nmSimOKZ1lA
greenciel,https://www.youtube.com/channel/UCcESM9OtWr2CsjQCIiv6-Ew,3570,24-08-2024,Aug 19 2024,No,240818 낮 스파이 커튼콜 : 제이 役 현석준 배우님,"240818 낮 스파이 커튼콜 : 제이 役 현석준 배우님
#뮤지컬스파이 #커튼콜위크 #커튼콜업로드이벤트",1,526,https://www.youtube.com/shorts/vl73s7XGWsA,https://i.ytimg.com/vi/vl73s7XGWsA/oar2.jpg?sqp=-oaymwEdCNAFENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLAqndY9D69QbqG-VWE2slvNtpus4g
WiHi OFFICIAL,https://www.youtube.com/channel/UCmb9yWJYqXtx2fT35iw86Cg,30900,24-08-2024,Oct 08 2023,No,Thr Paradice - 선 #드라이브 #가을감성 #사랑 #라이브,Thr Paradice - 선 #드라이브 #가을감성 #사랑 #라이브,44,297,https://www.youtube.com/shorts/YdSKelh8GwI,https://i.ytimg.com/vi/YdSKelh8GwI/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLBMnPyT8jmAyUiDfNSwdox8KAzHsQ
QUAN Entertainment,https://www.youtube.com/channel/UCdP8SztJpksbhLhDx5RGH0Q,6000,24-08-2024,Apr 29 2024,No,진심챌린지 Assemble SERIES 10 #별 #BYUL #진심 #MyTruth #진심챌린지,진심챌린지 Assemble SERIES 10 #별 #BYUL #진심 #MyTruth #진심챌린지,N/A,132,https://www.youtube.com/shorts/SNvWyDu7yjk,https://i.ytimg.com/vi/SNvWyDu7yjk/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLC4O8nWj_OvZYJKtn7YTmb0X_lvFA
모두의 음악 레슨,https://www.youtube.com/channel/UCW2kRKyH65x0CIprwGxAsIA,10400,24-08-2024,Jun 27 2024,No,#shorts 이무진의 신호등을 피아노로 치면 이렇게 됩니다!!🚦#kpoppianocover,#kpop #pianoscore #피아노악보 #이무진신호등 #이무진 #피아노커버 #케이팝 #피아노 #피아노레슨 #케이팝레슨 #케이팝 #piano,3,144,https://www.youtube.com/shorts/4n0yPt83G3o,https://i.ytimg.com/vi/4n0yPt83G3o/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCnxi4lUtET_aAihnh-czGGc7yAWQ
카동,https://www.youtube.com/channel/UClLUuzLV9xuibdFT0LoohcA,66700,24-08-2024,Nov 09 2023,No,과니발의 카니발 리즈시절,"#shorts #카니발페이스리프트 #더뉴카니발 #카니발
[슬기로운 동호회생활]
질서정연하고 즐거운 자동차문화를 만들기위해 노력하겠습니다
.
[후원]
신차견적, 장기렌트, 리스, 자동차할부 모~두
카드사별로 직접 비교하지않고 한 눈에 볼 수 있는 '카동'에서 해결하세요!
🔽🔽카동 홈페이지🔽🔽
http://www.cardong.co.kr/
.
광고/협찬 문의
= chspd0336@naver.com
.
귀요미 최PD 인스타: 
= https://www.instagram.com/seorofilm_1993/",36,"5,475",https://www.youtube.com/shorts/-_ptmqY9AOE,https://i.ytimg.com/vi/-_ptmqY9AOE/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLC9zFzghvcfhGVPxOqQN22N4ZpmmQ
멈블링 mumbling,https://www.youtube.com/channel/UCZ3Jqf5aDyqSD1y9G_m2h-Q,3260,24-08-2024,Dec 24 2023,No,라나가 크리스마스 앨범 내줄 때까지 숨 참음!!🎄✨,"원본영상(Original video)☞https://youtu.be/qhN5Y31EoUM?si=tBSn0Uzmwty-dUh7

#shorts #라나델레이 #캐롤 #크리스마스 #lanadelrey #santababy",11,86,https://www.youtube.com/shorts/0JBJ-FluZvY,https://i.ytimg.com/vi/0JBJ-FluZvY/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLBjLWFO3kSlLs2EgpWQYuNiFCVxzA
그룹엠 GroupM,https://www.youtube.com/channel/UCqR4bW5mfQ9w2DLAIa2xYHQ,19100,24-08-2024,May 11 2024,No,Welcome to the Show / DAY6 / (연습 Cover by GroupM),DAY6 - Welcome to the Show,9,157,https://www.youtube.com/shorts/pICI8yyH0yk,https://i.ytimg.com/vi_webp/pICI8yyH0yk/oar2.webp
박명원의 트롯세상,https://www.youtube.com/channel/UCQyj7r6ZA-HRyWb-YNJ4WnQ,203000,24-08-2024,Aug 23 2024,No,참외 농사 백점￼,참외 농사 백점￼,N/A,"1,862",https://www.youtube.com/shorts/qFSz6TPUCxI,https://i.ytimg.com/vi/qFSz6TPUCxI/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLB1yGHGm6wMW5GAHBTm98dvxjWwVQ
Rockin'KOREA,https://www.youtube.com/channel/UCTgd9p73SHJcJfvDEVB95_Q,4250,24-08-2024,Aug 13 2024,No,GUYZ 출연 공지!!! | 2024 Busan International Rock Festival (2024 부산국제록페스티벌),"2024 부산국제록페스티벌 GUYZ 출연!
※GUYZ 출연 일자 : 2024.10.6(일)
@guyzofficial
#GUYZ #가이즈

■ 2024 부산국제록페스티벌
- 일시 : 2024. 10. 4.(금) ~ 10. 6.(일), 3일간
- 장소 : 삼락생태공원
- 링크 : https://busanrockfestival.com/

■ 정규 티켓 예매
- 가격 : 3일권 232,000원 / 2일권 165,000~176,000원 / 1일권 99,000~110,000원
- 예매처 : YES24 티켓 (단독)
- 링크 : http://ticket.yes24.com/Perf/49826
* 본 티켓은 한정수량으로 판매되며, 소진시 자동 마감됩니다.
* 자세한 사항은 티켓 안내문을 통해 확인하실 수 있습니다.
 
...more",2,95,https://www.youtube.com/shorts/ng6S8BDmK-M,https://i.ytimg.com/vi/ng6S8BDmK-M/oar2.jpg?sqp=-oaymwEdCNAFENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLA4ulg0YUSGzXc0yCLskQSPgLkJNA
Rosé's Avocado™,https://www.youtube.com/channel/UCkec7sZvOjaEDpxGW0g-IAw,3020,24-08-2024,Feb 29 2024,No,Jennie solo 1B views 🥳🎉 #jennie#blackpink#fyp#foryou#jenniesolo#solo#shorts#viral#fypシ,Jennie solo 1B views 🥳🎉 #jennie#blackpink#fyp#foryou#jenniesolo#solo#shorts#viral#fypシ,6,139,https://www.youtube.com/shorts/OIAk-YNe3Sk,https://i.ytimg.com/vi/OIAk-YNe3Sk/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCd20vnNTH9y9JlC0zdEh2CMuAGPg
ELCANTO(엘칸토),https://www.youtube.com/channel/UC3QWksal35X_nSXE8jC59_A,6920,24-08-2024,Aug 21 2024,No,INTENSE with @zyoo_days,"다가올 가을을 위해 매력적인 크리에이터
지유 님과 함께한 #인텐스 로퍼 LCWC39I339 스타일링!

지유 님 코디처럼 귀여우면서 트렌디한 분위기를 담은
인텐스 로퍼로 이번 가을 필수템! 준비하기-

지금 바로 프로필 링크를 클릭하고 귀여운 인텐스 로퍼를 만나보세요!",9,458,https://www.youtube.com/shorts/1CZy5UesxWM,https://i.ytimg.com/vi/1CZy5UesxWM/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDZw9u-RxyjjgUZ1veTur2rhCmiMg
아이컨택,https://www.youtube.com/channel/UCRQ7RwBktFm7MZCvLDNF7KA,5010,24-08-2024,May 16 2024,No,"뮤지컬 '디어 에반 핸슨' 中 김성규, 강지혜 - If I Could Tell Her","영상제공 : 에스앤코

뮤지컬 '디어 에반 핸슨'
일시 : 2014.03.28.(목) ~ 2024.06.23.(일)
장소 : 충무아트센터 대극장

인스타그램 👉 https://www.instagram.com/team_eyecontact/
트위터 👉 https://twitter.com/team_eyecontact

Copyright ⓒ 아이컨택. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지",257,"3,506",https://www.youtube.com/shorts/rlCAuLG62jE,https://i.ytimg.com/vi/rlCAuLG62jE/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCkayJHdhf7fBWUaBswy1bRyjPfYQ
신일섭,https://www.youtube.com/channel/UCr_hY8M9VvgP4MGWeaFil5g,2840,24-08-2024,May 30 2024,No,REDROOM Itaewon,Inside of REDROOM Itaewon,1,29,https://www.youtube.com/shorts/WYNgpurxDmk,https://i.ytimg.com/vi/WYNgpurxDmk/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLBuBdm8EJk3010FJAgA1TxhAnnAOA
choyongkap_opera_shool,https://www.youtube.com/channel/UCyxG6cI-7CuFVaZgHPYHHPA,8980,24-08-2024,Oct 02 2023,No,#레슨티칭실황 #잔향 #테너한지훈선생님,"#shorts #레슨티칭실황 #잔향  #테너한지훈선생님

-----------------------------------------------------
▶테너조용갑TV (무료) 구독하기(클릭)
 https://bit.ly/2Tm1kQg

▶조용갑성악스쿨 (무료) 구독하기(클릭)
 https://bit.ly/2LNvSWQ

▶https://open.kakao.com/o/siaE837b
성악스쿨 카카오톡오픈채팅

▶https://blog.naver.com/coanto 
테너조용갑 네이버 블로그
----------------------------------------------------------

기초성악레슨, 취미성악레슨, 직장인 성악레슨
뮤지컬레슨, 가요레슨, 교회성가곡레슨. 강남성악레슨.  
...more",36,"1,665",https://www.youtube.com/shorts/a7iK5_2n2EI,https://i.ytimg.com/vi/a7iK5_2n2EI/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLAsMGgD43-dggQV9-vtkQ4NwnVdjw
DJ드빌마스터,https://www.youtube.com/channel/UChlRFn7WVJVMSILvcz8AayA,3490,24-08-2024,Jun 23 2024,No,組織のボス,"#shorts 

이어폰또는 헤드셋으로 들으시면 더 좋은 사운드가 들을수 있습니다
악보제작및 드럼커버 문의: quswoals953@naver.com
1대1 카톡방(DJ드빌마스터): https://open.kakao.com/o/sLt88Qw
NWC Technical: http://cafe.naver.com/pkmusic
DJ드빌마스터 사이트: https://quswoals953.wixsite.com/djemqlf
트위치: https://go.twitch.tv/quswoals953
트위터(X): https://twitter.com/quswoals9531",0,7,https://www.youtube.com/shorts/K3irsJzz0lw,https://i.ytimg.com/vi/K3irsJzz0lw/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDZ909DOJQnhq9OCVDC6hi_EFuKtA
I love you !,https://www.youtube.com/channel/UCT2ViYXbtJ-r8i9TnxPjqkA,3310,24-08-2024,Jul 15 2024,No,푸른 산호초 cover,푸른 산호초 cover,7,438,https://www.youtube.com/shorts/37Awc0K8WMc,https://i.ytimg.com/vi/37Awc0K8WMc/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLC1eYcDi5zDBAqdpEM0VnmgzL8c2A
루민Lumin,https://www.youtube.com/channel/UCI1yiw8tCohHKer33je8KBQ,2070,24-08-2024,Apr 26 2024,No,추억의 포켓몬스터 BW2 BGM(스카이애로 브릿지),추억의 포켓몬스터 BW2 BGM(스카이애로 브릿지),7,95,https://www.youtube.com/shorts/Adv_eGIQheU,https://i.ytimg.com/vi/Adv_eGIQheU/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLAVCjBoRT4FxofWMgoZvbzG7N151w
선테이 SUNTEI,https://www.youtube.com/channel/UC-4uuOgNav04iHRjjh7B82g,2330,24-08-2024,Aug 23 2024,No,호테일릿,호테일릿,0,50,https://www.youtube.com/shorts/Puf-WDV3W8k,https://i.ytimg.com/vi/Puf-WDV3W8k/oardefault.jpg?sqp=-oaymwEdCOgCENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCCTg8GuWDVI1vpSVgMEe6ujpey0A
DIWI_TV,https://www.youtube.com/channel/UC093i7Ek878xs9dsXOeMaag,2270,24-08-2024,Oct 09 2023,No,කොල්ලො කෙල්ල විතරක් මෙන්න ජනප්‍රිය සංගීත වේවා තමයි,කොල්ලො කෙල්ල විතරක් මෙන්න ජනප්‍රිය සංගීත වේවා තමයි,N/A,16,https://www.youtube.com/shorts/MxRK3vGaAMg,https://i.ytimg.com/vi/MxRK3vGaAMg/hq720.jpg?sqp=-oaymwEdCJUDENAFSFXyq4qpAw8IARUAAIhCcAHAAQbQAQE=&rs=AOn4CLBiwVizWb_ENQX2v1TUj2USACQniA
schleezer,https://www.youtube.com/channel/UCaqbyvvdUP9oxFG-dUl6cnA,5090,24-08-2024,Jan 18 2024,No,"4,900 won fried chicken for 4,900 subs!","4,900 won fried chicken for 4,900 subs!",8,123,https://www.youtube.com/shorts/jYxNK8P1-Zc,https://i.ytimg.com/vi/jYxNK8P1-Zc/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLB6aCm12BHRPvWzDAo50ee5V82D1w
정샤론 ChungSharon,https://www.youtube.com/channel/UCPAIlSugRLwMrAk89arrLdg,3150,24-08-2024,Jul 24 2024,No,#highwater #highwatercover #torikelly #chungsharon #정샤론 #노래 #노래커버,#highwater #highwatercover #torikelly #chungsharon #정샤론 #노래 #노래커버,23,164,https://www.youtube.com/shorts/9JCWxP1dv2A,https://i.ytimg.com/vi/9JCWxP1dv2A/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCIQ4XWOiMrx8ylXX4zfLGSjdWq2Q
힐링플룻 HealingFlute,https://www.youtube.com/channel/UC3GRYJqvRUnCZE8onqjV4kQ,5860,24-08-2024,Aug 22 2024,No,#토월고등학교 연주 '#눈물의여왕' 안했음 어쩔뻔!!! 첼로쌤의 #석구미모❤️ #에트왈트리오 #힐링플룻 #healingflute #미안해미워해사랑해,#토월고등학교 연주 '#눈물의여왕' 안했음 어쩔뻔!!! 첼로쌤의 #석구미모❤️ #에트왈트리오 #힐링플룻 #healingflute #미안해미워해사랑해,23,"1,275",https://www.youtube.com/shorts/ily3_9LJ_jk,https://i.ytimg.com/vi/ily3_9LJ_jk/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCci3sw91n7N63vlW6ajc-LuwzamA
기타훈련소Hell Guitar,https://www.youtube.com/channel/UCF9H12_nEf_TjgJJegSkJmQ,3000,24-08-2024,Apr 05 2024,No,기타리프가 멋진 EDM 곡,Madeon #funkguitar #madeon,11,408,https://www.youtube.com/shorts/JOk8qhR5kQQ,https://i.ytimg.com/vi/JOk8qhR5kQQ/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDGAvtWsopUwvsXpRM8m9hf-GcDCg
가수지선🔴진실🔴K트로트써니라이브일요일오후3시,https://www.youtube.com/channel/UCIkEEa_4pXXxyYMYt0nNo8Q,17700,24-08-2024,Aug 21 2024,No,청산유수#디스코 폴카,"🎶김해시 가수지선 보러오세요🤞
🔊경남  봉사활동/축하/연회/소형행사 문의 010.4594.8947
💌지선이를 사랑해 주신분들께 진심으로 감사드립니다💕
#shorts",22,497,https://www.youtube.com/shorts/yKjV93cmQpA,https://i.ytimg.com/vi/yKjV93cmQpA/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLC3E0BgdpeX2EzvOtBrt32GvPZkkw
레트로 클래식 Retro Classic [Official],https://www.youtube.com/channel/UCC8BO9pha9QF-41GuATlz_A,4150,24-08-2024,Apr 09 2024,No,[1 minute] Time filled with regrets_feat.Yoon Yeo-gyu #Shorts #retroclassic #노래 #retromusic,"ROCK OF RETRO CLASSIC VOL.3
Time filled with regrets #Shorts

Compose & Arrange Kim Jae-hong
Lyric Kim Ki-hong,Su sa-gwan
Bass & E.Piano Kim Jae-hong
E.Guitar Kim Ki-hong
Drum Park Gye-soo
Chorus Yoon Yeo-gyu,Kim Ki-hong
Mixing&Mastering Kim Ki-hong
Music Video Director Han Sang-jin
Designed by Park Song-yi
Feat. Yoon Yeo-gyu

Apple.music
https://music.apple.com/us/artist/retro-classic/1561794266
Melon
https://www.melon.com/artist/timeline.htm?artistId=27 
...more",20,124,https://www.youtube.com/shorts/wvoOf7YGLak,https://i.ytimg.com/vi/wvoOf7YGLak/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLA07O_bFqzKsDmPlOywxAcxSc_dMg
온네 (onnae),https://www.youtube.com/channel/UCOViGHc09_P0WsMWPpb0_NQ,4090,24-08-2024,Jul 30 2024,No,too sad to cry #우울증 #live #livecover #vtuber #버튜버 #보컬 #보컬트레이닝,too sad to cry #우울증 #live #livecover #vtuber #버튜버 #보컬 #보컬트레이닝,54,591,https://www.youtube.com/shorts/07iWDvOg4vc,https://i.ytimg.com/vi/07iWDvOg4vc/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLANOfGnazfojzKf71JNihwqH3Ai-w
Snikio,https://www.youtube.com/channel/UCcZpohY7Kj5jmaJii51Ai-Q,1680,24-08-2024,Jun 19 2024,No,I saw Billie Eilish & Jennie!!!,I saw Billie Eilish & Jennie!!!,3,141,https://www.youtube.com/shorts/C2C8jQm9QGE,https://i.ytimg.com/vi/C2C8jQm9QGE/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCN72ujz7JwTAmfmWI1ahaTHTCRLw
🌈 강이랑TV,https://www.youtube.com/channel/UCMGDMRnIk-xATeUheOY_3HA,19200,24-08-2024,Jul 12 2024,No,울다 뚝!!! Oh!!! #shorts,울다 뚝!!! Oh!!! #shorts,67,"7,012",https://www.youtube.com/shorts/wx3wUZwcYKw,https://i.ytimg.com/vi/wx3wUZwcYKw/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLB1V4ssJuE12FFcMdFx56D3lw_cyg
